,,,,,,,,,,,,,,,,,,,,
,Tabla de conversiones,,,Bachelors,,,,,,,,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", French studies intermediate,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,Bachelor of Arts | BA Melbourne | La Trobe University,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
","Gender, sexuality and diversity studies  ","Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,Bachelor of Arts | BA Melbourne | La Trobe University,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", Greek studies beginners  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Greek studies intermediate ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Hindi studies beginners  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",History  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", Human geography ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", International studies  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Italian studies beginners ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Italian studies intermediate  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Japanese studies beginners  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Japanese studies intermediate ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Linguistics  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Philosophy  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
","Politics  
","Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Psychological science  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", Sociology ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Spanish studies beginners  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",  Spanish studies intermediate,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", Sustainability and development  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Anthropology  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Archaeological and heritage studies  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",- Asian studies  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",- Chinese studies beginners  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",- Chinese studies intermediate  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",- Classics and ancient history  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",- Creative and professional writing ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,The University of Western Australia,Arts,Bachelor of Arts,Major of Fine Arts,Perth (Crawley campus),"Februrary, July",3 years full-time," $ 48.300,00 ",AUD,https://www.uwa.edu.au/study/courses/fine-arts#course-details ,,,,,,,,,
